Year,State_Code,State_Name,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,GeoLocation,Category,Demographic,Lat,Long
2014,US,National,38.9,37.9,39.8,32434.0,,Race/Ethnicity,Non-Hispanic Black,,
2011,US,National,29.9,29.2,30.6,60254.0,,Age (years),35 - 44,,
2015,GA,Georgia,24.6,21.3,28.2,1041.0,"(32.839681093, -83.627580346)",Income,"$75,000 or greater",32.839681093, -83.627580346
2015,NC,North Carolina,15.9,9.4,25.7,89.0,"(35.466220975, -79.159250463)",Race/Ethnicity,2 or more races,35.466220975, -79.159250463
2016,WY,Wyoming,37.0,31.3,43.0,433.0,"(43.235541343, -108.109830353)",Age (years),35 - 44,43.235541343, -108.109830353
2016,CO,Colorado,26.9,24.7,29.2,2191.0,"(38.843840757, -106.133610921)",Age (years),45 - 54,38.843840757, -106.133610921
2016,US,National,32.0,31.2,32.8,54639.0,,Income,"$35,000 - $49,999",,
2016,KY,Kentucky,34.3,31.7,37.0,2718.0,"(37.645970271, -84.774971048)",Education,Some college or technical school,37.645970271, -84.774971048
2016,KS,Kansas,36.0,32.9,39.2,1224.0,"(38.3477403, -98.200781227)",Age (years),35 - 44,38.3477403, -98.200781227
2016,OK,Oklahoma,32.2,30.2,34.3,3739.0,"(35.472031356, -97.521070214)",Gender,Female,35.472031356, -97.521070214
2016,ND,North Dakota,32.2,30.1,34.4,2541.0,"(47.475319779, -100.118421049)",Gender,Male,47.475319779, -100.118421049
2016,MT,Montana,25.5,23.9,27.2,5483.0,"(47.066528972, -109.424420645)",Total,Total,47.066528972, -109.424420645
2015,US,National,36.0,33.6,38.5,6040.0,,Race/Ethnicity,American Indian/Alaska Native,,
2016,TX,Texas,30.7,26.8,34.8,1098.0,"(31.827240407, -99.426770206)",Age (years),25 - 34,31.827240407, -99.426770206
2016,IL,Illinois,30.9,28.1,33.8,1492.0,"(40.485010283, -88.997710178)",Age (years),65 or older,40.485010283, -88.997710178
2016,MI,Michigan,33.2,31.3,35.1,3445.0,"(44.661319543001, -84.71439027)",Education,Some college or technical school,44.661319543001, -84.71439027
2016,RI,Rhode Island,25.4,23.5,27.4,4117.0,"(41.708280193, -71.522470314)",Race/Ethnicity,Non-Hispanic White,41.708280193, -71.522470314
2016,MI,Michigan,38.7,34.7,42.8,920.0,"(44.661319543001, -84.71439027)",Income,"Less than $15,000",44.661319543001, -84.71439027
2016,NV,Nevada,14.1,7.8,24.3,121.0,"(39.49324039, -117.071840564)",Race/Ethnicity,Asian,39.49324039, -117.071840564
2016,WI,Wisconsin,29.9,27.5,32.4,2507.0,"(44.393191174, -89.816370742)",Gender,Female,44.393191174, -89.816370742
2014,US,National,9.4,8.2,10.8,7813.0,,Race/Ethnicity,Asian,,
2015,US,National,34.0,33.3,34.7,64418.0,,Age (years),45 - 54,,
2013,US,National,34.9,32.4,37.4,7291.0,,Race/Ethnicity,American Indian/Alaska Native,,
2011,US,National,32.6,32.0,33.2,107279.0,,Age (years),55 - 64,,
2011,US,National,29.7,29.2,30.2,138994.0,,Education,High school graduate,,
2011,US,National,30.3,28.2,32.6,8412.0,,Race/Ethnicity,2 or more races,,
2011,US,National,25.3,24.9,25.7,151776.0,,Age (years),65 or older,,
2012,US,National,28.7,28.1,29.2,120032.0,,Education,Some college or technical school,,
2016,AZ,Arizona,36.4,32.7,40.3,1281.0,"(34.86597028, -111.763811277)",Age (years),45 - 54,34.86597028, -111.763811277
2016,MS,Mississippi,39.8,36.1,43.6,1068.0,"(32.745510099, -89.538030825)",Age (years),55 - 64,32.745510099, -89.538030825
2016,NE,Nebraska,35.9,30.9,41.2,1005.0,"(41.641040988001, -99.365720623)",Income,"Less than $15,000",41.641040988001, -99.365720623
2016,KS,Kansas,32.9,28.2,37.9,493.0,"(38.3477403, -98.200781227)",Race/Ethnicity,Hispanic,38.3477403, -98.200781227
2012,US,National,25.8,21.0,31.4,950.0,,Race/Ethnicity,Hawaiian/Pacific Islander,,
2018,IA,Iowa,38.0,35.9,40.1,2654.0,"(42.46940091300047, -93.81649055599968)",Education,High school graduate,42.46940091300047, -93.81649055599968
2016,MN,Minnesota,29.2,27.1,31.4,2452.0,"(46.355648736, -94.794200503)",Income,"$50,000 - $74,999",46.355648736, -94.794200503
2016,GA,Georgia,23.6,19.8,28.0,776.0,"(32.839681093, -83.627580346)",Income,Data not reported,32.839681093, -83.627580346
2016,IA,Iowa,38.3,32.1,44.9,419.0,"(42.469400913, -93.816490556)",Income,"Less than $15,000",42.469400913, -93.816490556
2016,IL,Illinois,11.5,6.9,18.6,165.0,"(40.485010283, -88.997710178)",Race/Ethnicity,Asian,40.485010283, -88.997710178
2016,AR,Arkansas,31.1,25.2,37.6,602.0,"(34.748650124, -92.274490743)",Income,"$50,000 - $74,999",34.748650124, -92.274490743
2016,DC,District of Columbia,37.4,34.8,40.0,1901.0,"(38.890371385, -77.031961127)",Race/Ethnicity,Non-Hispanic Black,38.890371385, -77.031961127
2016,OH,Ohio,29.7,26.1,33.6,944.0,"(40.060210141, -82.404260056)",Age (years),25 - 34,40.060210141, -82.404260056
2016,IA,Iowa,18.4,14.4,23.3,364.0,"(42.469400913, -93.816490556)",Age (years),18 - 24,42.469400913, -93.816490556
2016,TN,Tennessee,36.7,33.6,40.0,1831.0,"(35.68094058, -85.774490914)",Education,High school graduate,35.68094058, -85.774490914
2016,VA,Virginia,25.7,22.6,29.0,895.0,"(37.542680674, -78.457890463)",Age (years),25 - 34,37.542680674, -78.457890463
2016,CA,California,23.3,21.8,24.8,5273.0,"(37.638640123, -120.999999538)",Race/Ethnicity,Non-Hispanic White,37.638640123, -120.999999538
2016,MN,Minnesota,27.6,26.7,28.5,13621.0,"(46.355648736, -94.794200503)",Race/Ethnicity,Non-Hispanic White,46.355648736, -94.794200503
2016,OR,Oregon,32.7,28.6,37.1,681.0,"(44.567449424, -120.155031326)",Income,"$15,000 - $24,999",44.567449424, -120.155031326
2013,US,National,34.1,33.2,35.1,37398.0,,Education,Less than high school,,
2017,CT,Connecticut,26.4,24.5,28.5,3371.0,"(41.56266102, -72.649840952)",Age (years),65 or older,41.56266102, -72.649840952
2014,AK,Alaska,17.8,10.1,29.4,73.0,"(64.845079957001, -147.722059036)",Race/Ethnicity,Asian,64.845079957001, -147.722059036
2014,US,National,25.8,22.2,29.7,1835.0,,Race/Ethnicity,Other,,
2018,TX,Texas,33.5,30.8,36.4,4698.0,"(31.827240407000488, -99.42677020599967)",Gender,Male,31.827240407000488, -99.42677020599967
2014,US,National,32.1,31.4,32.9,49240.0,,Age (years),35 - 44,,
2016,SC,South Carolina,28.7,26.9,30.6,4262.0,"(33.998821303, -81.045371207)",Age (years),65 or older,33.998821303, -81.045371207
2016,IL,Illinois,27.6,23.3,32.3,505.0,"(40.485010283, -88.997710178)",Age (years),25 - 34,40.485010283, -88.997710178
2016,NC,North Carolina,33.4,29.5,37.5,784.0,"(35.466220975, -79.159250463)",Income,"$50,000 - $74,999",35.466220975, -79.159250463
2016,TX,Texas,31.0,28.9,33.2,6941.0,"(31.827240407, -99.426770206)",Race/Ethnicity,Non-Hispanic White,31.827240407, -99.426770206
2016,WA,Washington,33.5,27.7,39.8,323.0,"(47.522278629, -120.47001079)",Race/Ethnicity,2 or more races,47.522278629, -120.47001079
2012,US,National,9.7,8.5,11.2,8252.0,,Race/Ethnicity,Asian,,
2018,NV,Nevada,41.3,32.2,51.1,196.0,"(39.493240390000494, -117.07184056399967)",Income,"Less than $15,000",39.493240390000494, -117.07184056399967
2018,SC,South Carolina,36.8,34.4,39.3,2974.0,"(33.998821303000454, -81.04537120699968)",Education,High school graduate,33.998821303000454, -81.04537120699968
2018,SC,South Carolina,35.0,31.5,38.7,1372.0,"(33.998821303000454, -81.04537120699968)",Income,"$50,000 - $74,999",33.998821303000454, -81.04537120699968
2018,WI,Wisconsin,31.4,29.5,33.3,3926.0,"(44.39319117400049, -89.81637074199966)",Race/Ethnicity,Non-Hispanic White,44.39319117400049, -89.81637074199966
2018,NM,New Mexico,30.8,17.6,48.2,75.0,"(34.52088095200048, -106.24058098499967)",Race/Ethnicity,Non-Hispanic Black,34.52088095200048, -106.24058098499967
2018,NM,New Mexico,39.1,34.6,43.9,721.0,"(34.52088095200048, -106.24058098499967)",Education,Less than high school,34.52088095200048, -106.24058098499967
2018,NV,Nevada,14.8,6.7,29.8,78.0,"(39.493240390000494, -117.07184056399967)",Race/Ethnicity,Asian,39.493240390000494, -117.07184056399967
2018,OK,Oklahoma,34.0,30.7,37.4,1145.0,"(35.47203135600046, -97.52107021399968)",Income,"$75,000 or greater",35.47203135600046, -97.52107021399968
2018,AK,Alaska,29.5,27.0,32.2,2600.0,"(64.84507995700051, -147.72205903599973)",Total,Total,64.84507995700051, -147.72205903599973
2018,OK,Oklahoma,38.0,31.8,44.7,323.0,"(35.47203135600046, -97.52107021399968)",Race/Ethnicity,American Indian/Alaska Native,35.47203135600046, -97.52107021399968
2018,NC,North Carolina,44.5,40.1,49.1,730.0,"(35.466220975000454, -79.15925046299964)",Age (years),45 - 54,35.466220975000454, -79.15925046299964
2018,WY,Wyoming,39.9,35.1,44.8,482.0,"(43.23554134300048, -108.10983035299967)",Age (years),45 - 54,43.23554134300048, -108.10983035299967
2018,MD,Maryland,30.0,27.1,33.0,2136.0,"(39.29058096400047, -76.60926011099963)",Income,"$50,000 - $74,999",39.29058096400047, -76.60926011099963
2018,OH,Ohio,36.4,31.8,41.3,1041.0,"(40.06021014100048, -82.40426005599966)",Income,"Less than $15,000",40.06021014100048, -82.40426005599966
2018,GA,Georgia,17.5,9.9,29.1,84.0,"(32.83968109300048, -83.62758034599966)",Race/Ethnicity,American Indian/Alaska Native,32.83968109300048, -83.62758034599966
2018,NJ,New Jersey,28.8,20.2,39.3,250.0,"(40.13057004800049, -74.27369128799967)",Income,"$35,000 - $49,999",40.13057004800049, -74.27369128799967
2018,RI,Rhode Island,26.6,24.1,29.3,1874.0,"(41.70828019300046, -71.52247031399963)",Age (years),65 or older,41.70828019300046, -71.52247031399963
2018,MO,Missouri,29.8,25.8,34.2,1087.0,"(38.635790776000476, -92.56630005299968)",Income,Data not reported,38.635790776000476, -92.56630005299968
2018,MD,Maryland,30.8,26.1,36.0,564.0,"(39.29058096400047, -76.60926011099963)",Race/Ethnicity,Hispanic,39.29058096400047, -76.60926011099963
2018,ID,Idaho,23.1,20.0,26.5,1218.0,"(43.682630005000476, -114.3637300419997)",Education,College graduate,43.682630005000476, -114.3637300419997
2018,AZ,Arizona,30.4,25.9,35.3,777.0,"(34.865970280000454, -111.76381127699972)",Age (years),35 - 44,34.865970280000454, -111.76381127699972
2018,RI,Rhode Island,34.1,21.1,50.0,78.0,"(41.70828019300046, -71.52247031399963)",Race/Ethnicity,2 or more races,41.70828019300046, -71.52247031399963
2018,TX,Texas,54.1,34.5,72.5,104.0,"(31.827240407000488, -99.42677020599967)",Race/Ethnicity,American Indian/Alaska Native,31.827240407000488, -99.42677020599967
2018,IL,Illinois,36.7,32.6,41.0,700.0,"(40.48501028300046, -88.99771017799969)",Race/Ethnicity,Hispanic,40.48501028300046, -88.99771017799969
2018,MA,Massachusetts,30.3,17.3,47.4,53.0,"(42.27687047000046, -72.08269067499964)",Race/Ethnicity,Other,42.27687047000046, -72.08269067499964
2018,NY,New York,31.0,28.9,33.1,6866.0,"(42.82700103200045, -75.54397042699964)",Age (years),55 - 64,42.82700103200045, -75.54397042699964
2018,GA,Georgia,12.2,7.6,18.8,166.0,"(32.83968109300048, -83.62758034599966)",Race/Ethnicity,Asian,32.83968109300048, -83.62758034599966
2018,KY,Kentucky,33.2,29.9,36.7,1810.0,"(37.645970271000465, -84.77497104799966)",Income,"$75,000 or greater",37.645970271000465, -84.77497104799966
2018,NV,Nevada,33.6,26.3,41.7,254.0,"(39.493240390000494, -117.07184056399967)",Education,Less than high school,39.493240390000494, -117.07184056399967
2018,NY,New York,27.9,26.7,29.2,15565.0,"(42.82700103200045, -75.54397042699964)",Gender,Male,42.82700103200045, -75.54397042699964
2018,NC,North Carolina,29.4,27.3,31.6,2938.0,"(35.466220975000454, -79.15925046299964)",Race/Ethnicity,Non-Hispanic White,35.466220975000454, -79.15925046299964
2018,NJ,New Jersey,36.3,24.5,50.0,140.0,"(40.13057004800049, -74.27369128799967)",Income,"Less than $15,000",40.13057004800049, -74.27369128799967
2018,KY,Kentucky,37.8,32.2,43.7,717.0,"(37.645970271000465, -84.77497104799966)",Education,Less than high school,37.645970271000465, -84.77497104799966
2018,AZ,Arizona,35.1,30.5,40.1,1141.0,"(34.865970280000454, -111.76381127699972)",Income,"$15,000 - $24,999",34.865970280000454, -111.76381127699972
2018,RI,Rhode Island,26.9,22.6,31.8,581.0,"(41.70828019300046, -71.52247031399963)",Age (years),35 - 44,41.70828019300046, -71.52247031399963
2018,MA,Massachusetts,27.5,23.7,31.8,679.0,"(42.27687047000046, -72.08269067499964)",Age (years),35 - 44,42.27687047000046, -72.08269067499964
2018,ND,North Dakota,29.2,17.8,44.0,64.0,"(47.47531977900047, -100.11842104899966)",Race/Ethnicity,Non-Hispanic Black,47.47531977900047, -100.11842104899966
2018,AZ,Arizona,31.7,18.8,48.3,105.0,"(34.865970280000454, -111.76381127699972)",Race/Ethnicity,Other,34.865970280000454, -111.76381127699972
2018,MA,Massachusetts,29.4,26.1,32.8,989.0,"(42.27687047000046, -72.08269067499964)",Age (years),45 - 54,42.27687047000046, -72.08269067499964
2018,NY,New York,31.4,28.9,34.1,2463.0,"(42.82700103200045, -75.54397042699964)",Race/Ethnicity,Hispanic,42.82700103200045, -75.54397042699964
2018,ND,North Dakota,38.1,31.5,45.3,438.0,"(47.47531977900047, -100.11842104899966)",Income,"$25,000 - $34,999",47.47531977900047, -100.11842104899966
2018,WA,Washington,31.4,27.1,36.2,618.0,"(47.52227862900048, -120.47001078999972)",Education,Less than high school,47.52227862900048, -120.47001078999972
2018,MD,Maryland,30.9,29.8,32.1,16029.0,"(39.29058096400047, -76.60926011099963)",Total,Total,39.29058096400047, -76.60926011099963
2018,SD,South Dakota,32.0,25.3,39.5,662.0,"(44.353130053000484, -100.3735306369997)",Income,"$25,000 - $34,999",44.353130053000484, -100.3735306369997
2018,VT,Vermont,28.0,26.4,29.8,5572.0,"(43.62538123900049, -72.51764079099962)",Race/Ethnicity,Non-Hispanic White,43.62538123900049, -72.51764079099962
2018,OH,Ohio,36.5,27.3,46.9,214.0,"(40.06021014100048, -82.40426005599966)",Race/Ethnicity,2 or more races,40.06021014100048, -82.40426005599966
2018,NE,Nebraska,43.2,30.6,56.7,167.0,"(41.6410409880005, -99.36572062299967)",Race/Ethnicity,American Indian/Alaska Native,41.6410409880005, -99.36572062299967
2018,UT,Utah,24.1,21.3,27.2,1384.0,"(39.360700171000474, -111.58713063499971)",Income,Data not reported,39.360700171000474, -111.58713063499971
2018,NH,New Hampshire,27.1,24.3,30.0,1786.0,"(43.65595011300047, -71.50036091999965)",Income,"$75,000 or greater",43.65595011300047, -71.50036091999965
2018,MS,Mississippi,46.3,42.4,50.4,897.0,"(32.745510099000455, -89.53803082499968)",Age (years),45 - 54,32.745510099000455, -89.53803082499968
2018,MT,Montana,11.6,8.2,16.1,276.0,"(47.06652897200047, -109.42442064499971)",Age (years),18 - 24,47.06652897200047, -109.42442064499971
2018,CA,California,20.9,19.2,22.6,3852.0,"(37.63864012300047, -120.99999953799971)",Income,"$75,000 or greater",37.63864012300047, -120.99999953799971
2018,KS,Kansas,41.7,37.0,46.5,644.0,"(38.34774030000045, -98.20078122699965)",Income,"Less than $15,000",38.34774030000045, -98.20078122699965
2018,HI,Hawaii,21.8,18.4,25.7,868.0,"(21.304850435000446, -157.85774940299973)",Income,"$35,000 - $49,999",21.304850435000446, -157.85774940299973
2018,IN,Indiana,33.3,19.3,51.0,62.0,"(39.766910452000445, -86.14996019399968)",Race/Ethnicity,Other,39.766910452000445, -86.14996019399968
2018,CT,Connecticut,24.2,21.2,27.4,1625.0,"(41.56266102000046, -72.64984095199964)",Income,Data not reported,41.56266102000046, -72.64984095199964
2018,GA,Georgia,36.9,32.8,41.3,757.0,"(32.83968109300048, -83.62758034599966)",Education,Less than high school,32.83968109300048, -83.62758034599966
2018,US,National,32.7,31.7,33.6,46643.0,,Income,"$35,000 - $49,999",,
2018,WA,Washington,26.7,25.0,28.5,3926.0,"(47.52227862900048, -120.47001078999972)",Income,"$75,000 or greater",47.52227862900048, -120.47001078999972
2018,AK,Alaska,26.9,16.7,40.3,88.0,"(64.84507995700051, -147.72205903599973)",Race/Ethnicity,Hispanic,64.84507995700051, -147.72205903599973
2018,IL,Illinois,35.7,32.7,38.8,1276.0,"(40.48501028300046, -88.99771017799969)",Education,Some college or technical school,40.48501028300046, -88.99771017799969
2018,NM,New Mexico,28.9,25.7,32.3,1491.0,"(34.52088095200048, -106.24058098499967)",Income,"$75,000 or greater",34.52088095200048, -106.24058098499967
2018,VA,Virginia,30.4,29.1,31.6,9517.0,"(37.54268067400045, -78.45789046299967)",Total,Total,37.54268067400045, -78.45789046299967
2018,AL,Alabama,36.6,33.7,39.6,1854.0,"(32.84057112200048, -86.63186076199969)",Education,High school graduate,32.84057112200048, -86.63186076199969
2018,VT,Vermont,19.3,13.9,26.1,203.0,"(43.62538123900049, -72.51764079099962)",Age (years),18 - 24,43.62538123900049, -72.51764079099962
2018,IN,Indiana,33.3,29.2,37.5,855.0,"(39.766910452000445, -86.14996019399968)",Income,"$35,000 - $49,999",39.766910452000445, -86.14996019399968
2018,SD,South Dakota,28.3,24.9,32.0,1913.0,"(44.353130053000484, -100.3735306369997)",Education,High school graduate,44.353130053000484, -100.3735306369997
2018,HI,Hawaii,26.8,24.9,28.7,3684.0,"(21.304850435000446, -157.85774940299973)",Gender,Male,21.304850435000446, -157.85774940299973
2012,US,National,33.3,32.7,33.9,96513.0,,Age (years),55 - 64,,
2018,WV,West Virginia,40.8,35.4,46.3,378.0,"(38.66551020200046, -80.71264013499967)",Age (years),25 - 34,38.66551020200046, -80.71264013499967
2018,GA,Georgia,32.7,29.3,36.3,914.0,"(32.83968109300048, -83.62758034599966)",Age (years),25 - 34,32.83968109300048, -83.62758034599966
2018,OR,Oregon,30.8,28.7,33.0,2839.0,"(44.56744942400047, -120.15503132599969)",Gender,Female,44.56744942400047, -120.15503132599969
2018,NE,Nebraska,34.5,30.6,38.5,1390.0,"(41.6410409880005, -99.36572062299967)",Income,"$25,000 - $34,999",41.6410409880005, -99.36572062299967
2018,CA,California,27.6,25.6,29.8,2719.0,"(37.63864012300047, -120.99999953799971)",Education,Some college or technical school,37.63864012300047, -120.99999953799971
2018,IA,Iowa,45.7,36.6,55.0,140.0,"(42.46940091300047, -93.81649055599968)",Race/Ethnicity,Non-Hispanic Black,42.46940091300047, -93.81649055599968
2018,MO,Missouri,36.4,30.4,42.8,546.0,"(38.635790776000476, -92.56630005299968)",Income,"$25,000 - $34,999",38.635790776000476, -92.56630005299968
2018,WV,West Virginia,41.8,36.3,47.5,443.0,"(38.66551020200046, -80.71264013499967)",Education,Less than high school,38.66551020200046, -80.71264013499967
2018,ID,Idaho,31.8,27.3,36.6,624.0,"(43.682630005000476, -114.3637300419997)",Age (years),55 - 64,43.682630005000476, -114.3637300419997
2018,OK,Oklahoma,38.3,33.7,43.1,724.0,"(35.47203135600046, -97.52107021399968)",Income,"$15,000 - $24,999",35.47203135600046, -97.52107021399968
2018,AL,Alabama,37.7,33.0,42.6,688.0,"(32.84057112200048, -86.63186076199969)",Income,"$35,000 - $49,999",32.84057112200048, -86.63186076199969
2018,ID,Idaho,29.7,26.8,32.7,1766.0,"(43.682630005000476, -114.3637300419997)",Gender,Male,43.682630005000476, -114.3637300419997
2018,US,National,39.1,36.2,42.0,6937.0,,Race/Ethnicity,American Indian/Alaska Native,,
2018,MN,Minnesota,30.0,29.1,30.9,13700.0,"(46.35564873600049, -94.79420050299967)",Race/Ethnicity,Non-Hispanic White,46.35564873600049, -94.79420050299967
2018,WV,West Virginia,37.8,34.0,41.7,930.0,"(38.66551020200046, -80.71264013499967)",Income,"$75,000 or greater",38.66551020200046, -80.71264013499967
2018,DC,District of Columbia,25.2,22.6,28.0,1542.0,"(38.89037138500049, -77.03196112699965)",Age (years),65 or older,38.89037138500049, -77.03196112699965
2018,FL,Florida,28.0,26.5,29.6,10321.0,"(28.932040377000476, -81.92896053899966)",Race/Ethnicity,Non-Hispanic White,28.932040377000476, -81.92896053899966
2018,MD,Maryland,31.7,29.6,33.9,4052.0,"(39.29058096400047, -76.60926011099963)",Education,High school graduate,39.29058096400047, -76.60926011099963
2018,AK,Alaska,30.7,26.2,35.6,734.0,"(64.84507995700051, -147.72205903599973)",Education,High school graduate,64.84507995700051, -147.72205903599973
2018,OK,Oklahoma,43.4,36.2,50.9,252.0,"(35.47203135600046, -97.52107021399968)",Race/Ethnicity,Non-Hispanic Black,35.47203135600046, -97.52107021399968
2018,NM,New Mexico,31.2,28.8,33.6,2970.0,"(34.52088095200048, -106.24058098499967)",Gender,Male,34.52088095200048, -106.24058098499967
2018,NC,North Carolina,35.1,30.1,40.4,513.0,"(35.466220975000454, -79.15925046299964)",Income,"$35,000 - $49,999",35.466220975000454, -79.15925046299964
2018,MD,Maryland,35.6,33.2,38.0,3621.0,"(39.29058096400047, -76.60926011099963)",Education,Some college or technical school,39.29058096400047, -76.60926011099963
2018,FL,Florida,27.5,24.6,30.6,2993.0,"(28.932040377000476, -81.92896053899966)",Income,"$75,000 or greater",28.932040377000476, -81.92896053899966
2018,ND,North Dakota,38.2,34.7,41.8,1422.0,"(47.47531977900047, -100.11842104899966)",Education,High school graduate,47.47531977900047, -100.11842104899966
2015,US,National,34.8,33.8,35.8,33296.0,,Income,"Less than $15,000",,
2018,US,National,29.9,29.6,30.2,302781.0,,Race/Ethnicity,Non-Hispanic White,,
2018,OR,Oregon,14.9,11.3,19.4,402.0,"(44.56744942400047, -120.15503132599969)",Age (years),18 - 24,44.56744942400047, -120.15503132599969
2018,SD,South Dakota,35.8,30.1,42.0,703.0,"(44.353130053000484, -100.3735306369997)",Age (years),35 - 44,44.353130053000484, -100.3735306369997
2018,AZ,Arizona,29.6,25.3,34.3,1070.0,"(34.865970280000454, -111.76381127699972)",Income,"$50,000 - $74,999",34.865970280000454, -111.76381127699972
2018,ID,Idaho,26.5,22.8,30.6,909.0,"(43.682630005000476, -114.3637300419997)",Income,"$75,000 or greater",43.682630005000476, -114.3637300419997
2018,DC,District of Columbia,15.6,13.6,17.8,1831.0,"(38.89037138500049, -77.03196112699965)",Income,"$75,000 or greater",38.89037138500049, -77.03196112699965
2018,LA,Louisiana,37.3,25.1,51.4,82.0,"(31.31266064400046, -92.44568007099969)",Race/Ethnicity,2 or more races,31.31266064400046, -92.44568007099969
2018,TX,Texas,38.1,32.7,43.8,1415.0,"(31.827240407000488, -99.42677020599967)",Income,"$15,000 - $24,999",31.827240407000488, -99.42677020599967
2018,MO,Missouri,35.7,33.2,38.3,3205.0,"(38.635790776000476, -92.56630005299968)",Gender,Female,38.635790776000476, -92.56630005299968
2018,WI,Wisconsin,35.2,27.7,43.6,297.0,"(44.39319117400049, -89.81637074199966)",Income,"Less than $15,000",44.39319117400049, -89.81637074199966
2018,MA,Massachusetts,30.2,25.4,35.5,453.0,"(42.27687047000046, -72.08269067499964)",Race/Ethnicity,Hispanic,42.27687047000046, -72.08269067499964
2015,DE,Delaware,40.6,34.8,46.7,532.0,"(39.008830667, -75.577741168)",Income,"$15,000 - $24,999",39.008830667, -75.577741168
2018,OH,Ohio,38.8,35.1,42.7,1197.0,"(40.06021014100048, -82.40426005599966)",Age (years),35 - 44,40.06021014100048, -82.40426005599966
2018,CO,Colorado,28.4,25.0,32.1,892.0,"(38.843840757000464, -106.13361092099967)",Income,"$15,000 - $24,999",38.843840757000464, -106.13361092099967
2018,MT,Montana,25.9,24.2,27.6,3910.0,"(47.06652897200047, -109.42442064499971)",Race/Ethnicity,Non-Hispanic White,47.06652897200047, -109.42442064499971
2018,HI,Hawaii,29.4,23.9,35.5,535.0,"(21.304850435000446, -157.85774940299973)",Income,"Less than $15,000",21.304850435000446, -157.85774940299973
